test,station,p_MPa,G_kg_m2s,U_V,I_A,qw_kW_m2,Tin_C,dp_bar,Two_C,Twi_C,hb_kJ_kg,Tb_C,alpha_W_m2K,unc_qw_W_m2,unc_Two_C,unc_hb_J_kg,unc_alpha_W_m2K,rho_b,mu_b_uPa_s,lam_b_mWmK,cp_b,Pr_b,rho_w,mu_w_uPa_s,lam_w_mWmK,Re_b,Nu_meas,ratio_rho_w_b,ratio_mu_w_b,ratio_lam_w_b,T_pc_C,dT_b_to_pc_K,abs_dT_pc_K,near_pc,hb_coolprop_kJkg,hb_residual_kJkg
T22,18,30,650.1,6.1,6.0,8.3,20.1,0.18,76.40,76.32,306.21,58.19,457.59,11.73,0.50,9.97,8.86,837.167,79.2975,94.9351,2007.81,1.67709,761.234,66.6648,84.0178,7214.45,4.2416,0.90930,0.84069,0.88500,86.83,-28.640,28.640,False,306.219,-0.009
T22,19,30,650.1,6.1,6.0,8.3,20.1,0.18,78.96,78.88,310.28,60.21,444.44,11.73,0.50,9.97,8.36,828.846,77.7472,93.6300,2013.42,1.67187,750.363,65.1002,82.6230,7358.31,4.1772,0.90531,0.83733,0.88244,86.83,-26.620,26.620,False,310.281,-0.001
T22,20,30,650.1,6.1,6.0,8.3,20.1,0.18,81.97,81.88,314.35,62.23,422.07,11.73,0.50,9.97,7.54,820.484,76.2347,92.3469,2018.95,1.66670,737.618,63.3322,81.0353,7504.30,4.0220,0.89900,0.83075,0.87751,86.83,-24.600,24.600,False,314.354,-0.004
T23,1,30,650.1,7.4,7.2,12.4,19.8,0.20,33.97,33.85,239.32,24.04,1232.11,17.09,0.50,15.83,44.02,970.037,112.4829,120.0864,1911.42,1.79039,933.479,101.3934,112.2962,5086.00,9.0290,0.96231,0.90141,0.93513,86.83,-62.790,62.790,False,239.318,0.002
T23,2,30,650.1,7.4,7.2,12.4,19.8,0.20,38.85,38.73,245.79,27.42,1068.25,17.09,0.50,15.83,33.10,957.589,108.4926,117.3539,1920.15,1.77516,914.802,96.3979,108.5840,5273.06,8.0105,0.95532,0.88852,0.92527,86.83,-59.410,59.410,False,245.793,-0.003
T23,3,30,650.1,7.4,7.2,12.4,19.8,0.20,44.95,44.82,252.25,30.77,860.10,17.09,0.50,15.83,21.47,945.098,104.7169,114.6956,1929.20,1.76135,891.035,90.5909,104.1095,5463.19,6.5991,0.94280,0.86510,0.90770,86.83,-56.060,56.060,False,252.241,0.009
T23,4,30,650.1,7.4,7.2,12.4,19.8,0.20,49.22,49.10,258.71,34.12,806.47,17.09,0.50,15.83,18.88,932.455,101.1086,112.0879,1938.60,1.74870,874.034,86.7697,101.0733,5658.16,6.3316,0.93735,0.85818,0.90173,86.83,-52.710,52.710,False,258.719,-0.009
T23,5,30,650.1,7.4,7.2,12.4,19.8,0.20,54.08,53.95,265.18,37.44,731.72,17.09,0.50,15.83,15.55,919.772,97.6876,109.5545,1948.16,1.73714,854.486,82.6789,97.7448,5856.30,5.8776,0.92902,0.84636,0.89220,86.83,-49.390,49.390,False,265.171,0.009
T23,6,30,650.1,7.4,7.2,12.4,19.8,0.20,58.35,58.22,271.64,40.75,691.61,17.09,0.50,15.83,13.89,906.975,94.4214,107.0801,1957.82,1.72637,837.044,79.2742,94.9155,6058.88,5.6838,0.92290,0.83958,0.88640,86.83,-46.080,46.080,False,271.636,0.004
T23,7,30,650.1,7.4,7.2,12.4,19.8,0.20,63.06,62.94,278.10,44.05,639.46,17.09,0.50,15.83,11.88,894.068,91.3004,104.6654,1967.46,1.71623,817.535,75.7118,91.9012,6265.99,5.3764,0.91440,0.82926,0.87805,86.83,-42.780,42.780,False,278.112,-0.012
T23,8,30,650.1,7.4,7.2,12.4,19.8,0.20,66.57,66.44,284.57,47.32,631.88,17.09,0.50,15.83,11.60,881.134,88.3340,102.3250,1976.95,1.70664,802.930,73.1995,89.7438,6476.42,5.4342,0.91125,0.82867,0.87705,86.83,-39.510,39.510,False,284.561,0.009
T23,9,30,650.1,7.4,7.2,12.4,19.8,0.20,70.29,70.17,291.03,50.58,616.89,17.09,0.50,15.83,11.06,868.100,85.4953,100.0448,1986.31,1.69744,787.257,70.6379,87.5186,6691.46,5.4262,0.90687,0.82622,0.87479,86.83,-36.250,36.250,False,291.022,0.008
T23,10,30,650.1,7.4,7.2,12.4,19.8,0.20,74.08,73.96,297.49,53.83,600.28,17.09,0.50,15.83,10.47,854.973,82.7772,97.8257,1995.55,1.68858,771.240,68.1533,85.3363,6911.18,5.3999,0.90206,0.82333,0.87233,86.83,-33.000,33.000,False,297.492,-0.002
T23,11,30,650.1,7.4,7.2,12.4,19.8,0.20,78.87,78.75,303.96,57.06,557.07,17.09,0.50,15.83,9.03,841.803,80.1816,95.6746,2004.65,1.68003,750.915,65.1785,82.6929,7134.90,5.1238,0.89203,0.81289,0.86431,86.83,-29.770,29.770,False,303.952,0.008
T23,12,30,650.1,7.4,7.2,12.4,19.8,0.20,82.94,82.81,310.42,60.28,536.13,17.09,0.50,15.83,8.36,828.557,77.6942,93.5852,2013.61,1.67169,733.670,62.7983,80.5535,7363.33,5.0413,0.88548,0.80828,0.86075,86.83,-26.550,26.550,False,310.422,-0.002
T23,13,30,650.1,7.4,7.2,12.4,19.8,0.20,87.43,87.30,316.88,63.48,507.17,17.09,0.50,15.83,7.49,815.288,75.3172,91.5640,2022.33,1.66350,714.649,60.3149,78.2966,7595.72,4.8743,0.87656,0.80081,0.85510,86.83,-23.350,23.350,False,316.879,0.001
T23,14,30,650.1,7.4,7.2,12.4,19.8,0.20,91.39,91.26,323.35,66.67,491.28,17.09,0.50,15.83,7.03,801.967,73.0382,89.6044,2030.71,1.65527,697.983,58.2529,76.4018,7832.73,4.8248,0.87034,0.79757,0.85266,86.83,-20.160,20.160,False,323.344,0.006
T23,15,30,650.1,7.4,7.2,12.4,19.8,0.20,94.63,94.51,329.81,69.85,489.94,17.09,0.50,15.83,6.99,788.605,70.8531,87.7065,2038.57,1.64685,684.426,56.6496,74.9138,8074.28,4.9158,0.86789,0.79954,0.85414,86.83,-16.980,16.980,False,329.814,-0.004
T23,16,30,650.1,7.4,7.2,12.4,19.8,0.20,98.28,98.15,336.27,73.01,480.50,17.09,0.50,15.83,6.72,775.262,68.7651,85.8758,2045.65,1.63806,669.413,54.9481,73.3188,8319.45,4.9239,0.86347,0.79907,0.85378,86.83,-13.820,13.820,False,336.268,0.002
T23,17,30,650.1,7.4,7.2,12.4,19.8,0.20,102.58,102.45,342.74,76.17,459.59,17.09,0.50,15.83,6.15,761.870,66.7581,84.1007,2051.76,1.62866,651.970,53.0642,71.5314,8569.56,4.8090,0.85575,0.79487,0.85054,86.83,-10.660,10.660,False,342.742,-0.002
T23,18,30,650.1,7.4,7.2,12.4,19.8,0.20,104.94,104.82,349.20,79.31,473.70,17.09,0.50,15.83,6.54,748.536,64.8425,82.3923,2056.60,1.61854,642.513,52.0832,70.5904,8822.73,5.0594,0.85836,0.80323,0.85676,86.83,-7.520,7.520,False,349.192,0.008
T23,19,30,650.1,7.4,7.2,12.4,19.8,0.20,108.84,108.72,355.66,82.45,459.94,17.09,0.50,15.83,6.16,735.198,63.0042,80.7395,2059.96,1.60747,627.225,50.5550,69.1087,9080.16,5.0130,0.85314,0.80241,0.85595,86.83,-4.380,4.380,True,355.656,0.004
T23,20,30,650.1,7.4,7.2,12.4,19.8,0.20,112.76,112.64,362.13,85.59,446.61,17.09,0.50,15.83,5.81,721.882,61.2424,79.1426,2061.62,1.59533,612.235,49.1242,67.7013,9341.37,4.9659,0.84811,0.80213,0.85543,86.83,-1.240,1.240,True,362.127,0.003
T24,1,30,921.5,7.4,7.4,12.4,20.1,0.33,27.86,27.73,237.68,23.18,2736.08,17.58,0.50,11.50,210.77,973.180,113.5286,120.7896,1909.26,1.79449,956.439,108.1359,117.1058,7142.87,19.9334,0.98280,0.95250,0.96950,86.83,-63.650,63.650,False,237.675,0.005
T24,2,30,921.5,7.4,7.4,12.4,20.1,0.33,33.11,32.98,242.38,25.64,1694.33,17.58,0.50,11.50,80.85,964.164,110.5706,118.7867,1915.50,1.78301,936.775,102.3183,112.9695,7333.96,12.5520,0.97159,0.92537,0.95103,86.83,-61.190,61.190,False,242.379,0.001
T24,3,30,921.5,7.4,7.4,12.4,20.1,0.33,37.53,37.40,247.07,28.08,1334.91,17.58,0.50,11.50,50.20,955.140,107.7349,116.8262,1921.90,1.77234,919.925,97.7279,109.5847,7526.99,10.0553,0.96313,0.90711,0.93802,86.83,-58.750,58.750,False,247.061,0.009
T24,4,30,921.5,7.4,7.4,12.4,20.1,0.33,40.14,40.01,251.76,30.52,1309.68,17.58,0.50,11.50,48.32,946.036,104.9927,114.8922,1928.51,1.76234,909.849,95.1395,107.6288,7723.58,10.0313,0.96175,0.90615,0.93678,86.83,-56.310,56.310,False,251.759,0.001
T24,5,30,921.5,7.4,7.4,12.4,20.1,0.33,42.59,42.46,256.45,32.95,1307.09,17.58,0.50,11.50,48.13,936.888,102.3504,112.9928,1935.28,1.75300,900.305,92.7878,105.8223,7922.98,10.1798,0.96095,0.90657,0.93654,86.83,-53.880,53.880,False,256.453,-0.003
T24,6,30,921.5,7.4,7.4,12.4,20.1,0.33,45.26,45.13,261.15,35.37,1273.75,17.58,0.50,11.50,45.71,927.697,99.8029,111.1281,1942.17,1.74425,889.812,90.3072,103.8866,8125.21,10.0866,0.95916,0.90485,0.93484,86.83,-51.460,51.460,False,261.145,0.005
T24,7,30,921.5,7.4,7.4,12.4,20.1,0.33,47.22,47.10,265.84,37.78,1335.06,17.58,0.50,11.50,50.21,918.464,97.3456,109.2980,1949.15,1.73600,882.008,88.5298,102.4808,8330.32,10.7491,0.96031,0.90944,0.93763,86.83,-49.050,49.050,False,265.834,0.006
T24,8,30,921.5,7.4,7.4,12.4,20.1,0.33,49.72,49.59,270.53,40.19,1322.05,17.58,0.50,11.50,49.24,909.151,94.9642,107.4951,1956.18,1.72815,872.072,86.3452,100.7316,8539.22,10.8229,0.95922,0.90924,0.93708,86.83,-46.640,46.640,False,270.540,-0.010
T24,9,30,921.5,7.4,7.4,12.4,20.1,0.33,51.71,51.59,275.23,42.58,1380.89,17.58,0.50,11.50,53.71,899.836,92.6745,105.7345,1963.17,1.72069,864.034,84.6388,99.3494,8750.20,11.4928,0.96021,0.91329,0.93961,86.83,-44.250,44.250,False,275.223,0.007
T24,10,30,921.5,7.4,7.4,12.4,20.1,0.33,54.21,54.08,279.92,44.97,1364.48,17.58,0.50,11.50,52.45,890.443,90.4535,104.0016,1970.14,1.71349,853.958,82.5726,97.6572,8965.05,11.5454,0.95903,0.91287,0.93900,86.83,-41.860,41.860,False,279.924,-0.004
T24,11,30,921.5,7.4,7.4,12.4,20.1,0.33,56.27,56.15,284.61,47.35,1412.84,17.58,0.50,11.50,56.23,881.014,88.3074,102.3037,1977.04,1.70655,845.526,80.9025,96.2751,9182.92,12.1530,0.95972,0.91615,0.94107,86.83,-39.480,39.480,False,284.621,-0.011
T24,12,30,921.5,7.4,7.4,12.4,20.1,0.33,58.50,58.37,289.30,49.71,1436.23,17.58,0.50,11.50,58.10,871.592,86.2416,100.6481,1983.82,1.69986,836.428,79.1578,94.8179,9402.89,12.5574,0.95966,0.91786,0.94207,86.83,-37.120,37.120,False,289.295,0.005
T24,13,30,921.5,7.4,7.4,12.4,20.1,0.33,61.09,60.97,294.00,52.08,1398.68,17.58,0.50,11.50,55.11,862.058,84.2272,99.0138,1990.59,1.69331,825.705,77.1738,93.1447,9627.77,12.4310,0.95783,0.91626,0.94072,86.83,-34.750,34.750,False,294.004,-0.004
T24,14,30,921.5,7.4,7.4,12.4,20.1,0.33,62.99,62.86,298.69,54.43,1474.44,17.58,0.50,11.50,61.23,852.536,82.2873,97.4219,1997.25,1.68697,817.867,75.7705,91.9513,9854.75,13.3184,0.95933,0.92081,0.94385,86.83,-32.400,32.400,False,298.690,0.000
T24,15,30,921.5,7.4,7.4,12.4,20.1,0.33,65.44,65.32,303.38,56.78,1455.93,17.58,0.50,11.50,59.71,842.949,80.4026,95.8589,2003.86,1.68076,807.615,73.9918,90.4269,10085.75,13.3657,0.95808,0.92027,0.94333,86.83,-30.050,30.050,False,303.391,-0.011
T24,16,30,921.5,7.4,7.4,12.4,20.1,0.33,68.21,68.08,308.08,59.11,1387.19,17.58,0.50,11.50,54.21,833.383,78.5867,94.3380,2010.37,1.67471,796.051,72.0588,88.7560,10318.79,12.9399,0.95520,0.91693,0.94083,86.83,-27.720,27.720,False,308.068,0.012
T24,17,30,921.5,7.4,7.4,12.4,20.1,0.33,69.67,69.54,312.77,61.44,1535.72,17.58,0.50,11.50,66.43,823.759,76.8218,92.8461,2016.80,1.66872,789.911,71.0624,87.8890,10555.86,14.5556,0.95891,0.92503,0.94661,86.83,-25.390,25.390,False,312.760,0.010
T24,18,30,921.5,7.4,7.4,12.4,20.1,0.33,72.92,72.79,317.46,63.77,1378.17,17.58,0.50,11.50,53.50,814.081,75.1063,91.3835,2023.11,1.66275,776.193,68.9078,86.0015,10796.96,13.2714,0.95346,0.91747,0.94110,86.83,-23.060,23.060,False,317.466,-0.006
T24,19,30,921.5,7.4,7.4,12.4,20.1,0.33,75.14,75.01,322.15,66.08,1393.04,17.58,0.50,11.50,54.66,804.437,73.4530,89.9626,2029.20,1.65681,766.791,67.4856,84.7459,11039.98,13.6265,0.95320,0.91876,0.94201,86.83,-20.750,20.750,False,322.146,0.004
T24,20,30,921.5,7.4,7.4,12.4,20.1,0.33,76.96,76.83,326.85,68.39,1474.11,17.58,0.50,11.50,61.21,794.749,71.8457,88.5709,2035.04,1.65075,759.069,66.3490,83.7370,11286.96,14.6461,0.95511,0.92349,0.94542,86.83,-18.440,18.440,False,326.841,0.009
T25,1,30,754.9,6.7,6.6,10.0,20.2,0.23,31.20,31.09,236.51,22.57,1168.78,14.09,0.50,11.61,48.01,975.404,114.2781,121.2904,1907.75,1.79745,943.897,104.3652,114.4443,5813.12,8.4799,0.96770,0.91326,0.94356,86.83,-64.260,64.260,False,236.511,-0.001
T25,2,30,754.9,6.7,6.6,10.0,20.2,0.23,35.44,35.34,241.25,25.05,968.67,14.09,0.50,11.61,32.98,966.333,111.2708,119.2647,1913.98,1.78569,927.812,99.8340,111.1510,5970.23,7.1474,0.96014,0.89722,0.93197,86.83,-61.780,61.780,False,241.250,0.000
T25,3,30,754.9,6.7,6.6,10.0,20.2,0.23,40.08,39.98,245.98,27.52,799.82,14.09,0.50,11.61,22.50,957.218,108.3773,117.2738,1920.41,1.77473,909.965,95.1687,107.6511,6129.62,6.0017,0.95064,0.87812,0.91795,86.83,-59.310,59.310,False,245.985,-0.005
T25,4,30,754.9,6.7,6.6,10.0,20.2,0.23,44.45,44.35,250.72,29.98,693.83,14.09,0.50,11.61,16.94,948.058,105.5918,115.3179,1927.03,1.76450,892.887,91.0232,104.4485,6291.32,5.2947,0.94181,0.86203,0.90574,86.83,-56.850,56.850,False,250.718,0.002
T25,5,30,754.9,6.7,6.6,10.0,20.2,0.23,48.60,48.50,255.46,32.44,620.39,14.09,0.50,11.61,13.55,938.815,102.8979,113.3892,1933.84,1.75491,876.432,87.2932,101.4934,6456.03,4.8148,0.93355,0.84835,0.89509,86.83,-54.390,54.390,False,255.466,-0.006
T25,6,30,754.9,6.7,6.6,10.0,20.2,0.23,52.28,52.17,260.20,34.88,576.39,14.09,0.50,11.61,11.70,929.565,100.3122,111.5035,1940.77,1.74598,861.694,84.1519,98.9523,6622.45,4.5489,0.92699,0.83890,0.88744,86.83,-51.950,51.950,False,260.193,0.007
T25,7,30,754.9,6.7,6.6,10.0,20.2,0.23,56.10,56.00,264.94,37.32,533.44,14.09,0.50,11.61,10.02,920.233,97.8086,109.6452,1947.81,1.73754,846.138,81.0221,96.3745,6791.96,4.2813,0.91948,0.82837,0.87897,86.83,-49.510,49.510,False,264.937,0.003
T25,8,30,754.9,6.7,6.6,10.0,20.2,0.23,59.21,59.11,269.68,39.75,514.66,14.09,0.50,11.61,9.33,910.857,95.3934,107.8222,1954.90,1.72955,833.383,78.5867,94.3380,6963.92,4.2004,0.91494,0.82382,0.87494,86.83,-47.080,47.080,False,269.679,0.001
T25,9,30,754.9,6.7,6.6,10.0,20.2,0.23,62.24,62.14,274.41,42.17,498.93,14.09,0.50,11.61,8.77,901.439,93.0623,106.0346,1961.98,1.72195,820.857,76.3013,92.4036,7138.36,4.1407,0.91061,0.81989,0.87145,86.83,-44.660,44.660,False,274.419,-0.009
T25,10,30,754.9,6.7,6.6,10.0,20.2,0.23,65.53,65.43,279.15,44.58,477.94,14.09,0.50,11.61,8.05,891.981,90.8113,104.2825,1969.01,1.71465,807.155,73.9135,90.3595,7315.30,4.0332,0.90490,0.81392,0.86649,86.83,-42.250,42.250,False,279.155,-0.005
T25,11,30,754.9,6.7,6.6,10.0,20.2,0.23,69.61,69.51,283.89,46.98,442.33,14.09,0.50,11.61,6.90,882.485,88.6368,102.5658,1975.97,1.70762,790.037,71.0827,87.9067,7494.76,3.7951,0.89524,0.80195,0.85708,86.83,-39.850,39.850,False,283.889,0.001
T25,12,30,754.9,6.7,6.6,10.0,20.2,0.23,73.29,73.19,288.63,49.37,418.51,14.09,0.50,11.61,6.18,872.953,86.5355,100.8849,1982.85,1.70082,774.500,68.6486,85.7732,7676.76,3.6506,0.88722,0.79330,0.85021,86.83,-37.460,37.460,False,288.620,0.010
T25,13,30,754.9,6.7,6.6,10.0,20.2,0.23,76.42,76.31,293.37,51.76,405.86,14.09,0.50,11.61,5.81,863.349,84.4958,99.2328,1989.68,1.69419,761.276,66.6711,84.0234,7862.08,3.5992,0.88177,0.78905,0.84673,86.83,-35.070,35.070,False,293.367,0.003
T25,14,30,754.9,6.7,6.6,10.0,20.2,0.23,80.02,79.91,298.10,54.14,386.60,14.09,0.50,11.61,5.28,853.715,82.5236,97.6168,1996.43,1.68775,745.987,64.4853,82.0721,8049.96,3.4851,0.87381,0.78142,0.84076,86.83,-32.690,32.690,False,298.111,-0.011
T25,15,30,754.9,6.7,6.6,10.0,20.2,0.23,83.02,82.91,302.84,56.51,377.37,14.09,0.50,11.61,5.03,844.054,80.6164,96.0370,2003.11,1.68147,733.245,62.7413,80.5020,8240.41,3.4579,0.86872,0.77827,0.83824,86.83,-30.320,30.320,False,302.850,-0.010
T25,16,30,754.9,6.7,6.6,10.0,20.2,0.23,86.13,86.02,307.58,58.87,366.96,14.09,0.50,11.61,4.76,834.371,78.7714,94.4933,2009.70,1.67533,720.061,61.0070,78.9283,8433.42,3.4174,0.86300,0.77448,0.83528,86.83,-27.960,27.960,False,307.585,-0.005
T25,17,30,754.9,6.7,6.6,10.0,20.2,0.23,89.39,89.29,312.32,61.22,355.02,14.09,0.50,11.61,4.46,824.670,76.9863,92.9857,2016.20,1.66928,706.257,59.2637,77.3332,8628.96,3.3598,0.85641,0.76980,0.83167,86.83,-25.610,25.610,False,312.316,0.004
T25,18,30,754.9,6.7,6.6,10.0,20.2,0.23,91.97,91.86,317.06,63.57,352.19,14.09,0.50,11.61,4.38,814.914,75.2517,91.5079,2022.57,1.66327,695.471,57.9509,76.1225,8827.87,3.3869,0.85343,0.77009,0.83187,86.83,-23.260,23.260,False,317.061,-0.001
T25,19,30,754.9,6.7,6.6,10.0,20.2,0.23,95.00,94.90,321.79,65.91,343.76,14.09,0.50,11.61,4.18,805.148,73.5731,90.0662,2028.76,1.65725,682.808,56.4626,74.7393,9029.28,3.3587,0.84805,0.76744,0.82983,86.83,-20.920,20.920,False,321.802,-0.012
T25,20,30,754.9,6.7,6.6,10.0,20.2,0.23,98.70,98.60,326.53,68.24,328.27,14.09,0.50,11.61,3.81,795.379,71.9487,88.6604,2034.67,1.65115,667.572,54.7446,73.1269,9233.13,3.2582,0.83931,0.76088,0.82480,86.83,-18.590,18.590,False,326.536,-0.006
T26,1,30,754.9,6.7,6.6,10.0,30.0,0.24,39.32,39.22,257.34,33.41,1716.24,14.09,0.50,11.25,103.48,935.147,101.8599,112.6363,1936.58,1.75130,912.909,95.9137,108.2174,6521.82,13.4086,0.97622,0.94162,0.96077,86.83,-53.420,53.420,False,257.344,-0.004
T26,2,30,754.9,6.7,6.6,10.0,30.0,0.24,43.48,43.38,261.93,35.78,1311.32,14.09,0.50,11.25,60.42,926.132,99.3794,110.8148,1943.35,1.74281,896.701,91.9235,105.1514,6684.61,10.4134,0.96822,0.92498,0.94889,86.83,-51.050,51.050,False,261.941,-0.011
T26,3,30,754.9,6.7,6.6,10.0,30.0,0.24,48.15,48.05,266.52,38.13,1005.36,14.09,0.50,11.25,35.53,917.116,96.9951,109.0344,1950.17,1.73483,878.227,87.6883,101.8097,6848.93,8.1141,0.95760,0.90405,0.93374,86.83,-48.700,48.700,False,266.516,0.004
T26,4,30,754.9,6.7,6.6,10.0,30.0,0.24,52.58,52.48,271.12,40.48,830.90,14.09,0.50,11.25,24.28,908.025,94.6826,107.2800,1957.03,1.72723,860.442,83.8930,98.7408,7016.20,6.8157,0.94760,0.88604,0.92040,86.83,-46.350,46.350,False,271.107,0.013
T26,5,30,754.9,6.7,6.6,10.0,30.0,0.24,56.72,56.62,275.71,42.83,722.48,14.09,0.50,11.25,18.36,898.857,92.4390,105.5520,1963.90,1.71992,843.604,80.5292,95.9644,7186.49,6.0234,0.93853,0.87116,0.90917,86.83,-44.000,44.000,False,275.714,-0.004
T26,6,30,754.9,6.7,6.6,10.0,30.0,0.24,60.39,60.28,280.30,45.16,658.90,14.09,0.50,11.25,15.28,889.693,90.2798,103.8650,1970.69,1.71293,828.557,77.6942,93.5852,7358.37,5.5826,0.93128,0.86059,0.90103,86.83,-41.670,41.670,False,280.298,0.002
T26,7,30,754.9,6.7,6.6,10.0,30.0,0.24,64.16,64.06,284.89,47.49,601.23,14.09,0.50,11.25,12.72,880.457,88.1831,102.2047,1977.44,1.70615,812.873,74.8962,91.2036,7533.32,5.1767,0.92324,0.84933,0.89236,86.83,-39.340,39.340,False,284.898,-0.008
T26,8,30,754.9,6.7,6.6,10.0,30.0,0.24,67.24,67.14,289.48,49.80,574.97,14.09,0.50,11.25,11.64,871.231,86.1640,100.5855,1984.08,1.69961,799.997,72.7098,89.3204,7709.85,5.0303,0.91824,0.84385,0.88800,86.83,-37.030,37.030,False,289.473,0.007
T26,9,30,754.9,6.7,6.6,10.0,30.0,0.24,70.31,70.20,294.07,52.11,550.89,14.09,0.50,11.25,10.69,861.936,84.2021,98.9933,1990.67,1.69323,787.130,70.6178,87.5010,7889.50,4.8971,0.91321,0.83867,0.88391,86.83,-34.720,34.720,False,294.064,0.006
T26,10,30,754.9,6.7,6.6,10.0,30.0,0.24,73.48,73.37,298.66,54.42,525.74,14.09,0.50,11.25,9.74,852.577,82.2954,97.4287,1997.22,1.68700,773.738,68.5324,85.6708,8072.29,4.7486,0.90753,0.83276,0.87932,86.83,-32.410,32.410,False,298.670,-0.010
T26,11,30,754.9,6.7,6.6,10.0,30.0,0.24,77.66,77.56,303.26,56.71,478.00,14.09,0.50,11.25,8.05,843.236,80.4579,95.9050,2003.67,1.68094,755.970,65.9005,83.3376,8256.64,4.3860,0.89651,0.81907,0.86896,86.83,-30.120,30.120,False,303.251,0.009
T26,12,30,754.9,6.7,6.6,10.0,30.0,0.24,81.08,80.98,307.85,59.00,453.46,14.09,0.50,11.25,7.25,833.836,78.6713,94.4092,2010.06,1.67499,741.441,63.8552,81.5063,8444.15,4.2268,0.88919,0.81167,0.86333,86.83,-27.830,27.830,False,307.847,0.003
T26,13,30,754.9,6.7,6.6,10.0,30.0,0.24,84.67,84.57,312.44,61.28,427.98,14.09,0.50,11.25,6.46,824.422,76.9414,92.9476,2016.36,1.66913,726.203,61.8064,79.6552,8634.00,4.0520,0.88086,0.80329,0.85699,86.83,-25.550,25.550,False,312.437,0.003
T26,14,30,754.9,6.7,6.6,10.0,30.0,0.24,87.76,87.65,317.03,63.55,413.50,14.09,0.50,11.25,6.03,814.997,75.2662,91.5204,2022.52,1.66332,713.171,60.1278,78.1255,8826.16,3.9759,0.87506,0.79887,0.85364,86.83,-23.280,23.280,False,317.021,0.009
T26,15,30,754.9,6.7,6.6,10.0,30.0,0.24,91.01,90.90,321.62,65.82,397.32,14.09,0.50,11.25,5.57,805.525,73.6368,90.1211,2028.52,1.65748,699.492,58.4354,76.5703,9021.47,3.8797,0.86837,0.79356,0.84964,86.83,-21.010,21.010,False,321.619,0.001
T26,16,30,754.9,6.7,6.6,10.0,30.0,0.24,94.24,94.14,326.21,68.08,382.46,14.09,0.50,11.25,5.17,796.051,72.0588,88.7560,2034.27,1.65158,685.963,56.8281,75.0801,9219.03,3.7920,0.86171,0.78864,0.84592,86.83,-18.750,18.750,False,326.210,0.000
T26,17,30,754.9,6.7,6.6,10.0,30.0,0.24,97.69,97.58,330.80,70.34,365.71,14.09,0.50,11.25,4.73,786.540,70.5240,87.4190,2039.72,1.64552,671.751,55.2081,73.5636,9419.66,3.6814,0.85406,0.78283,0.84151,86.83,-16.490,16.490,False,330.814,-0.014
T26,18,30,754.9,6.7,6.6,10.0,30.0,0.24,99.94,99.84,335.40,72.58,365.59,14.09,0.50,11.25,4.72,777.081,69.0444,86.1217,2044.74,1.63929,662.517,54.1916,72.6039,9621.51,3.7356,0.85257,0.78488,0.84304,86.83,-14.250,14.250,False,335.388,0.012
T26,19,30,754.9,6.7,6.6,10.0,30.0,0.24,103.44,103.34,339.99,74.83,349.51,14.09,0.50,11.25,4.32,767.554,67.5994,84.8466,2049.31,1.63274,648.405,52.6911,71.1744,9827.19,3.6250,0.84477,0.77946,0.83886,86.83,-12.000,12.000,False,339.994,-0.004
T26,20,30,754.9,6.7,6.6,10.0,30.0,0.24,106.94,106.84,344.58,77.06,334.69,14.09,0.50,11.25,3.96,758.093,66.2073,83.6109,2053.27,1.62588,634.550,51.2784,69.8127,10033.83,3.5226,0.83703,0.77451,0.83497,86.83,-9.770,9.770,False,344.569,0.011
T27,1,30,921.5,9.8,9.6,21.3,20.1,0.34,30.61,30.39,236.37,22.50,2697.96,30.12,0.50,19.47,119.69,975.658,114.3645,121.3479,1907.57,1.79780,946.523,105.1366,114.9946,7090.66,19.5653,0.97014,0.91931,0.94764,86.83,-64.330,64.330,False,236.377,-0.007
T27,2,30,921.5,9.8,9.6,21.3,20.1,0.34,36.47,36.25,244.32,26.65,2218.71,30.12,0.50,19.47,80.97,960.438,109.3852,117.9720,1918.12,1.77851,924.335,98.8966,110.4567,7413.43,16.5502,0.96241,0.90411,0.93630,86.83,-60.180,60.180,False,244.315,0.005
T27,3,30,921.5,9.8,9.6,21.3,20.1,0.34,42.87,42.65,252.27,30.78,1794.16,30.12,0.50,19.47,52.97,945.061,104.7059,114.6877,1929.22,1.76131,899.562,92.6084,105.6834,7744.74,13.7666,0.95186,0.88446,0.92149,86.83,-56.050,56.050,False,252.260,0.010
T27,4,30,921.5,9.8,9.6,21.3,20.1,0.34,46.47,46.25,260.22,34.89,1874.70,30.12,0.50,19.47,57.82,929.527,100.3017,111.4958,1940.80,1.74594,885.382,89.2913,103.0850,8084.80,14.7964,0.95251,0.89023,0.92456,86.83,-51.940,51.940,False,260.213,0.007
T27,5,30,921.5,9.8,9.6,21.3,20.1,0.34,50.28,50.06,268.17,38.98,1921.27,30.12,0.50,19.47,60.73,913.837,96.1505,108.3969,1952.65,1.73204,870.188,85.9404,100.4049,8433.86,15.5975,0.95224,0.89381,0.92627,86.83,-47.850,47.850,False,268.175,-0.005
T27,6,30,921.5,9.8,9.6,21.3,20.1,0.34,54.47,54.25,276.12,43.04,1899.50,30.12,0.50,19.47,59.36,898.034,92.2417,105.3988,1964.52,1.71928,853.268,82.4339,97.5429,8791.25,15.8594,0.95015,0.89367,0.92546,86.83,-43.790,43.790,False,276.127,-0.007
